8.039, -3.102, 0.000, 0.000, 0.000, -1.000, 0.008
7.422, -3.061, 0.000, 0.000, 0.000, -1.000, 0.012
6.964, -3.068, 0.000, 0.000, 0.000, 1.000, 0.016)
6.356, -3.240, 0.000, 0.000, 0.000, 1.000, 0.019)
5.654, -3.191, 0.000, 0.000, 0.000, 1.000, 0.003)
5.113, -3.252, 0.000, 0.000, 0.000, -1.000, 0.007)
4.481, -3.249, 0.000, 0.000, 0.000, 1.000, 0.018) 
4.217, -3.382, 0.000, 0.000, 0.000, -0.903, 0.430)
4.052, -3.835, 0.000, 0.000, 0.000, -0.787, 0.617)
3.811, -4.377, 0.000, 0.000, 0.000, -0.526, 0.850)
1.043, 2.659, 0.000, 0.000, 0.000, 0.000, 1.000)
