,PATH,early,late,even
0,AB,2.718789032805403,2.441268965701571,0.30000000000000004
1,AC,0.30000000000000004,0.30000000000000004,0.30000000000000004
2,AD,0.2999999999999998,2.699805790276091,0.2999999999999998
3,AE,0.2999999999999998,0.2999999999999998,0.2999999999999998
4,AF,0.2999999999999998,0.2999999999999998,0.2999999999999998
5,BA,0.30000000000000004,0.30000000000000004,0.30000000000000004
6,BC,0.30000000000000004,0.30000000000000004,0.30000000000000004
7,BD,0.2999999999999998,0.2999999999999998,0.2999999999999998
8,BE,0.2999999999999998,0.2999999999999998,0.2999999999999998
9,BF,0.2999999999999998,0.2999999999999998,0.2999999999999998
10,CB,2.718789032805403,2.4412689657015703,0.30000000000000004
11,CA,0.30000000000000004,0.30000000000000004,0.30000000000000004
12,EA,0.2999999999999998,0.2999999999999998,0.2999999999999998
13,CD,0.2999999999999998,0.2999999999999998,0.2999999999999998
14,CE,0.2999999999999998,0.2999999999999998,0.2999999999999998
15,CF,0.2999999999999998,2.699805790276091,0.2999999999999998
16,DA,0.2999999999999998,2.699805790276091,0.2999999999999998
17,DB,0.2999999999999998,0.2999999999999998,0.2999999999999998
18,DC,0.2999999999999998,0.2999999999999998,0.2999999999999998
19,DE,2.718789032805404,2.441268965701571,0.2999999999999998
20,DF,0.2999999999999998,0.2999999999999998,0.2999999999999998
21,EB,0.2999999999999998,0.2999999999999998,0.2999999999999998
22,EC,0.2999999999999998,0.2999999999999998,0.2999999999999998
23,ED,0.2999999999999998,0.2999999999999998,0.2999999999999998
24,EF,0.2999999999999998,0.2999999999999998,0.2999999999999998
25,FA,0.2999999999999998,0.2999999999999998,0.2999999999999998
26,FB,0.2999999999999998,0.2999999999999998,0.2999999999999998
27,FC,0.2999999999999998,2.699805790276091,0.2999999999999998
28,FD,0.2999999999999998,0.2999999999999998,0.2999999999999998
29,FE,2.718789032805404,2.441268965701571,0.2999999999999998
